TABLE_NAME,COLUMN_NAME,COLUMN_TYPE,IS_NULLABLE,COLUMN_KEY,COLUMN_DEFAULT,EXTRA
"oauth_connections","id","varchar(36)","NO","PRI","",""
"oauth_connections","user_id","varchar(36)","NO","MUL","",""
"oauth_connections","provider","enum('wechat','google','apple')","NO","MUL","",""
"oauth_connections","provider_user_id","varchar(100)","NO","","",""
"oauth_connections","created_at","timestamp","NO","","CURRENT_TIMESTAMP","DEFAULT_GENERATED"
"user_sessions","id","varchar(36)","NO","PRI","",""
"user_sessions","user_id","varchar(36)","NO","MUL","",""
"user_sessions","token","varchar(100)","NO","UNI","",""
"user_sessions","expires_at","timestamp","NO","MUL","CURRENT_TIMESTAMP","DEFAULT_GENERATED on update CURRENT_TIMESTAMP"
"user_sessions","created_at","timestamp","NO","","CURRENT_TIMESTAMP","DEFAULT_GENERATED"
"user_sessions","last_activity","timestamp","YES","","",""
"users","id","varchar(36)","NO","PRI","",""
"users","username","varchar(50)","YES","","",""
"users","email","varchar(100)","YES","UNI","",""
"users","phone","varchar(20)","YES","UNI","",""
"users","password_hash","varchar(100)","YES","","",""
"users","avatar_url","varchar(255)","YES","","",""
"users","nickname","varchar(50)","YES","","",""
"users","created_at","timestamp","NO","","CURRENT_TIMESTAMP","DEFAULT_GENERATED"
"users","updated_at","timestamp","NO","","CURRENT_TIMESTAMP","DEFAULT_GENERATED on update CURRENT_TIMESTAMP"
"users","status","tinyint","YES","","1",""
"verification_codes","id","varchar(36)","NO","PRI","",""
"verification_codes","email","varchar(100)","YES","MUL","",""
"verification_codes","phone","varchar(20)","YES","MUL","",""
"verification_codes","code","varchar(10)","NO","","",""
"verification_codes","type","enum('email','phone')","NO","","",""
"verification_codes","purpose","enum('register','login','reset_password')","NO","","",""
"verification_codes","expires_at","timestamp","NO","MUL","CURRENT_TIMESTAMP","DEFAULT_GENERATED on update CURRENT_TIMESTAMP"
"verification_codes","created_at","timestamp","NO","","CURRENT_TIMESTAMP","DEFAULT_GENERATED"
